No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,1778,938,840,265,52,0,1136,672,464,465,440,25,69,22
210,1415,749,666,285,240,0,720,443,277,343,334,9,199,2
17773,107144,55859,51285,21467,18608,1709,47520,30204,17316,34989,25238,9751,8652,341
17773,107144,55859,51285,21467,18608,1709,47520,30204,17316,34989,25238,9751,8652,341
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,3124,1626,1498,674,334,0,1373,837,536,815,700,115,357,9
283,1533,826,707,233,451,3,950,599,351,505,330,175,83,0
285,1804,945,859,375,132,3,908,589,319,433,337,96,108,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,4223,2253,1970,887,412,0,2107,1398,709,995,935,60,218,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,1174,627,547,261,200,0,602,395,207,307,238,69,79,4
115,681,343,338,114,219,0,428,243,185,262,165,97,12,2
322,1891,990,901,419,396,0,883,592,291,566,430,136,15,0
276,1602,854,748,360,246,2,772,493,279,424,352,72,5,1
88,568,297,271,115,28,0,284,199,85,148,117,31,73,9
547,3331,1749,1582,823,276,0,1378,887,491,1160,692,468,164,3
83,669,350,319,106,159,3,500,264,236,195,152,43,3,0
483,2944,1541,1403,585,466,4,1446,913,533,1322,819,503,236,38
245,1600,805,795,332,122,8,586,405,181,393,331,62,18,0
91,583,301,282,132,351,2,268,167,101,295,148,147,0,0
170,1184,630,554,227,0,0,597,401,196,470,310,160,2,2
362,2024,1085,939,467,206,0,879,612,267,816,510,306,92,17
31,200,103,97,46,0,0,82,56,26,38,37,1,1,0
238,1389,719,670,302,521,2,461,254,207,390,329,61,133,6
532,3264,1688,1576,712,601,3,1192,764,428,961,715,246,121,17
211,1398,716,682,291,53,0,663,411,252,338,305,33,90,0
288,1689,914,775,314,783,0,969,591,378,807,497,310,186,1
636,4394,2279,2115,858,749,4,1596,1040,556,1644,1017,627,284,14
1586,9143,4710,4433,1720,1354,19,4013,2558,1455,3046,2115,931,788,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,1449,751,698,302,99,0,473,305,168,334,328,6,20,2
317,2041,1064,977,337,59,0,1116,699,417,598,414,184,88,35
588,3673,1879,1794,664,540,116,1736,1035,701,1130,895,235,146,7
608,3616,1858,1758,622,755,332,1513,994,519,1039,907,132,193,21
506,3056,1590,1466,575,731,4,1348,859,489,1557,869,688,562,7
303,2025,1068,957,398,288,0,905,598,307,525,451,74,70,2
228,1207,641,566,250,656,16,492,304,188,393,301,92,259,3
420,2773,1496,1277,534,388,0,1215,854,361,827,623,204,410,18
86,449,234,215,93,15,0,232,145,87,118,101,17,38,0
713,3936,2063,1873,777,1035,17,2024,1230,794,1551,1016,535,544,20
50,299,144,155,55,31,0,204,116,88,125,71,54,0,0
12,57,25,32,9,6,0,40,19,21,19,15,4,2,0
843,4731,2436,2295,924,1096,4,2243,1369,874,1365,1090,275,566,24
389,2292,1109,1183,477,459,12,1110,651,459,987,524,463,180,4
255,1459,767,692,279,408,0,544,361,183,398,373,25,99,1
25,164,77,87,39,0,0,57,37,20,45,37,8,28,0
51,261,131,130,59,0,0,132,82,50,108,51,57,5,2
217,1336,709,627,284,130,0,699,433,266,363,355,8,49,0
50,345,190,155,72,0,0,102,73,29,135,82,53,0,0
261,1417,744,673,275,255,1,658,439,219,573,338,235,269,0
310,2066,1047,1019,418,109,0,951,591,360,694,486,208,218,19
49,283,146,137,56,0,0,101,75,26,136,75,61,77,0
222,1495,780,715,298,409,4,685,449,236,440,391,49,13,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,2480,1298,1182,525,646,2,994,617,377,734,528,206,219,2
280,1514,815,699,300,0,0,528,362,166,383,357,26,156,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,2100,1112,988,408,284,8,1053,680,373,731,499,232,94,0
329,1996,1021,975,405,263,0,776,491,285,427,408,19,58,9
46,328,183,145,60,21,0,178,118,60,140,91,49,0,6
372,2326,1193,1133,452,665,5,851,520,331,692,563,129,193,3
31,156,82,74,33,69,0,25,14,11,80,44,36,55,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,2080,1107,973,467,623,13,746,496,250,520,461,59,300,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
